param,value,F_jj,self_info_sqrt_F_jj,marginal_std_lower_bound,individual_id_score,most_collinear_partner,partner_correlation
tau_B,14.0,539.076049891607,23.218011325081374,0.21841019020794245,4.578540951078917,lambda_B,0.9477057926945696
alpha_A,1.0,937.4481211218313,30.61777459453628,0.09113990017552703,10.972142805446268,tau_B,0.8244934384030012
tau_F,7.0,39644.4189525695,199.10906295939796,0.16006561256815197,6.247438059653349,lambda_B,0.9978552566631045
lambda_B,3.0,85910.5494799025,293.10501442299227,0.11142106600713603,8.974963495107419,tau_F,0.9978552566631045
lambda_A,1.5,480.0932104444151,21.911029424570977,0.08932470664867376,11.195110933116593,mu_FF,0.6305444537851873
mu_0,0.02,2017712.4066736584,1420.46203985663,0.0034788073346026073,287.4548383445421,eta,0.9677642267984423
mu_B,0.3,199954.98322632958,447.16326238447806,0.021369255658095124,46.79620179569422,eta,0.9669426391080735
mu_F,0.1,29794.149414550717,172.60981841874093,0.04480634408061396,22.31826810508878,mu_FF,0.8065427861497724
mu_FF,0.4,13704.59038474763,117.06660661669333,0.04478572840686499,22.328541604041764,mu_F,0.8065427861497724
eta,0.2,189534.56940234263,435.3556814862333,0.014838272438020755,67.39329016750334,mu_0,0.9677642267984423
