param,value,F_jj,self_info_sqrt_F_jj,marginal_std_lower_bound,individual_id_score,most_collinear_partner,partner_correlation
kappa,6.67,725.083487170849,26.927374308885913,1.4759953224810904,0.6775089221279097,lmbda,0.9956312383559266
lmbda,32.0,29.588624699206697,5.439542692102591,4.4007449554676565,0.22723425468171274,kappa,0.9956312383559266
gamma_3,8.0,19.20354497202631,4.3821849541098,2.841532680765661,0.3519227516786984,beta_Z,0.7996531549235405
beta_Z,4.0,89.81240831635768,9.476940873317595,1.4480999810539312,0.6905600532307149,gamma_3,0.7996531549235405
A_scale,6.0,961.0436470364775,31.000703976466042,1.018380269949729,0.9819514669597473,kappa,0.9640415720586125
phi_0,-1.0471975511965976,181416.27344757682,425.92989264382095,0.011561170605152741,86.49643138682741,tau_W,0.8984851781987606
tau_W,0.08333333333333333,3593478.5129621914,1895.6472543598904,0.0021290007096543854,469.7039298602848,phi_0,0.8984851781987606
tau_Z,0.08333333333333333,45240.795042052065,212.69883648495133,0.015299039755731476,65.36357941192814,alpha_T,0.6881620220088526
tau_a,0.125,101855.49246689893,319.1480729487473,0.03880360507077331,25.77080140301694,A_scale,0.9493402938584324
mu_0,-0.5,14.46947835020735,3.8038767527625486,4.337263513131685,0.23056012090857683,mu_E,0.9515763769043388
mu_E,1.0,8.569994667025917,2.9274553228061255,4.844360267692306,0.2064256051865373,eta,0.9516645773591633
eta,0.5,3.9179853313484942,1.979390141267884,2.7710533607614036,0.3608735992457502,mu_E,0.9516645773591633
alpha_T,0.3,72.4444799723711,8.511432310273701,1.2023322835820094,0.8317168337364963,mu_E,0.948612168038169
lambda_amp_W,5.0,0.014480398455038627,0.12033452727724751,33.6877342271801,0.029684394719344916,mu_0,0.8336088374301187
V_n_scale,2.0,0.10927812546425351,0.33057242090690736,12.668078947587071,0.07893856709745822,mu_0,0.5824546086275076
HR_base,50.0,26.328125,5.131093937943448,0.2948114715105754,3.391998265454634,alpha_HR,0.726210455126037
alpha_HR,25.0,8.81168072600575,2.96844752791855,0.5199846807157558,1.923133578903721,HR_base,0.726210455126037
c_tilde,3.0,240.85414421004882,15.519476286590628,0.36179948649884325,2.7639619107176294,delta_c,0.9754190025133421
delta_c,1.5,42.62744879556673,6.52896996436396,1.565059799084719,0.6389532212026797,c_tilde,0.9754190025133421
lambda_base,0.5,8.424999999999988,2.9025850547399963,0.511501706106611,1.9550276921101264,lambda_step,0.6531014151511984
lambda_step,200.0,2.7758922266260897,1.6661009052953815,0.9482280569687114,1.0545986196577992,lambda_base,0.6531014151511981
W_thresh,0.6,222294.5014045316,471.4811782081355,0.008266656025949289,120.96789764337225,mu_0,0.8249209885485494
s_base,30.0,7.488888888888895,2.73658343356984,0.5819664162684655,1.718312211917556,alpha_s,0.7262104551260364
alpha_s,40.0,2.5064336287305253,1.5831720148898936,0.9698539082241057,1.0310831265619114,s_base,0.7262104551260365
beta_s,10.0,14.977777777777785,3.870113406319999,0.31780335167415624,3.146599916999302,s_base,0.5656854249492372
